wallet,coin,hl_side,pm_direction,pm_question,pm_buy_timestamp,hl_open_timestamp,entry_gap_days,entry_order,pm_end_date,hl_close_timestamp,exit_gap_days,exit_order,pm_buy_price,pm_dollar_spent,hl_notional,hl_realized_pnl
0x0e893d9769c3210c73843230dd250eecbc8fa302,GOOGL,Short,Bullish,Will Google dip to $290 in December?,2026-01-01 01:13:23+00:00,2025-12-03 02:22:59.928000+00:00,-29.0,HL first,2026-01-01 04:59:59.999000+00:00,2025-12-03 02:42:01.208000+00:00,-29.1,HL first,0.999,50.95,316.94,-0.39
0x0e893d9769c3210c73843230dd250eecbc8fa302,GOOGL,Short,Bullish,Will Google dip to $275 in December?,2025-12-31 11:52:51+00:00,2025-12-03 02:22:59.928000+00:00,-28.4,HL first,2026-01-01 04:59:59.999000+00:00,2025-12-03 02:42:01.208000+00:00,-29.1,HL first,0.999,50.95,316.94,-0.39
0x0e893d9769c3210c73843230dd250eecbc8fa302,GOOGL,Short,Bullish,Will Google dip to $260 in December?,2025-12-31 11:53:31+00:00,2025-12-03 02:22:59.928000+00:00,-28.4,HL first,2026-01-01 04:59:59.999000+00:00,2025-12-03 02:42:01.208000+00:00,-29.1,HL first,0.999,50.95,316.94,-0.39
0x0e893d9769c3210c73843230dd250eecbc8fa302,GOOGL,Short,Bullish,Will Google dip to $240 in December?,2025-12-31 11:54:15+00:00,2025-12-03 02:22:59.928000+00:00,-28.4,HL first,2026-01-01 04:59:59.999000+00:00,2025-12-03 02:42:01.208000+00:00,-29.1,HL first,0.998,50.9,316.94,-0.39
0x0e893d9769c3210c73843230dd250eecbc8fa302,GOOGL,Short,Bullish,Will Google dip to $215 in December?,2025-12-31 11:54:55+00:00,2025-12-03 02:22:59.928000+00:00,-28.4,HL first,2026-01-01 04:59:59.999000+00:00,2025-12-03 02:42:01.208000+00:00,-29.1,HL first,0.999,50.95,316.94,-0.39
0x0e893d9769c3210c73843230dd250eecbc8fa302,GOOGL,Short,Bullish,Will Google (GOOGL) close above $280 end of December?,2025-12-31 13:13:47+00:00,2025-12-03 02:22:59.928000+00:00,-28.5,HL first,,2025-12-03 02:42:01.208000+00:00,,Unknown,0.998,50.9,316.94,-0.39
0x00dfef5239af8aa2a260de92efc45898e0390c4f,GOOGL,Long,Bearish,Will Google (GOOGL) hit $290 before 2026??,2025-11-26 05:07:13+00:00,2025-11-24 20:40:27.131000+00:00,-1.4,HL first,,2026-02-02 03:53:16.411000+00:00,,Unknown,0.7208,25.0,200.03,1670.56
0x00dfef5239af8aa2a260de92efc45898e0390c4f,GOOGL,Long,Bearish,Will Google (GOOGL) hit $285 before 2026??,2025-11-26 05:06:09+00:00,2025-11-24 20:40:27.131000+00:00,-1.4,HL first,,2026-02-02 03:53:16.411000+00:00,,Unknown,0.84,25.0,200.03,1670.56
0x00dfef5239af8aa2a260de92efc45898e0390c4f,GOOGL,Long,Bearish,Will Google (GOOGL) hit $275 before 2026??,2025-11-26 05:06:45+00:00,2025-11-24 20:40:27.131000+00:00,-1.4,HL first,,2026-02-02 03:53:16.411000+00:00,,Unknown,0.8736,25.0,200.03,1670.56
0x2b64ea69157d6c6ddfe90a906f2eb235d25b21b6,NVDA,Short,Bullish,Will NVIDIA (NVDA) close at $185–190 in 2025?,2025-11-29 21:55:45+00:00,2025-11-21 14:03:03.889000+00:00,-8.3,HL first,,2025-12-26 17:18:05.436000+00:00,,Unknown,0.09,2.0,207.78,-3.84
