wallet,hedge_count,doubledown_count,assets_hedged,total_pm_trades,total_dollar_volume,total_nominal_volume,avg_dollar_per_trade
0x992fa1f4459042e59734c4e38bec152ff119ecdb,1,0,NVDA,6,9116.62,9205.55,1519.44
0x5d91c94fd64a08f9b9812c22f4da940b8ceda4ee,1,0,NVDA,3,418.52,437.48,139.51
0x0e893d9769c3210c73843230dd250eecbc8fa302,6,19,GOOGL,6,305.59,306.0,50.93
0xefe1be7c6d0fcfb83808382c86899ddaba2a6b60,1,0,NVDA,1,249.96,1877.09,249.96
0x947db9d96aea1650d4879eba95e0d6aa0dd93e90,2,6,"AAPL, GOLD, GOOGL, NVDA",8,211.39,914.3,26.42
0x57fc5d089f5aecf327b40472bcf52f52cf31928a,1,1,"NVDA, TSLA",2,200.0,215.76,100.0
0x635cb5c09388d295ea7ca55efe8f850c88039ecf,1,1,"AAPL, NVDA",4,113.25,116.04,28.31
0xf26da589c149efa79b2be62f4b81b1b63a8ea7cd,1,0,NVDA,7,104.47,559.49,14.92
0x4f7f36299e4ff4f54352cdd537e4f8d86cb2386c,1,0,NVDA,1,100.0,715.33,100.0
0xa8da06619f2d7211f9625b57f37016f42a4bf105,1,0,AAPL,1,99.8,100.0,99.8
0x929d9bc38739d587278b77eb4cd23a027de5b4de,1,1,META,2,98.04,100.0,49.02
0x00dfef5239af8aa2a260de92efc45898e0390c4f,3,0,GOOGL,3,75.0,93.06,25.0
0x392ae4c105bd1ae95ffec05eefe645be3b6e6503,1,0,GOOGL,2,60.17,60.61,30.08
0xb6d3e41eb7715e1460aabbb492f7fd1285fe78b3,1,0,NVDA,1,51.0,51.05,51.0
0x4fe2e743da6e8d1aa0c9ed5489d8c2c9b5f96c87,1,0,GOOGL,1,50.0,59.64,50.0
0x2b722ee9a9932ead52af0586fdb545eb8758de68,1,1,GOOGL,1,39.6,90.0,39.6
0xa155ca5ecc705be8a8af4a90a26105c9ea02bf9e,2,2,"AAPL, NVDA",4,32.19,32.71,8.05
0xdd5fc1676f84019ce3cffa6f52c3060363407c0e,3,0,NVDA,5,25.0,276.41,5.0
0xfece5d531c16508de2bd445e772e51d143c0d147,2,1,"GOOGL, META, NVDA",2,25.0,520.06,12.5
0x238ae641390a55969271161401880bb154b06ebe,1,0,NVDA,2,25.0,29.08,12.5
0xfa6a68bfc3082177627ec216a8034396d84b2342,1,0,MSFT,1,24.98,25.0,24.98
0x80401362dc41308f34195f85fa508695cab4f5eb,1,1,"NVDA, TSLA",2,20.1,21.05,10.05
0xfa4efb76f67bfe940d026adace39a8dac1df3b76,2,0,NVDA,2,20.0,656.62,10.0
0xdc04703855a5fd08f577a22f987fb41e49348a9a,1,7,GOOGL,1,20.0,46.11,20.0
0x70770e5aa200d39bfd34b388fdd1d69a03f0a8f1,1,0,NVDA,1,20.0,21.28,20.0
0xbb999dd40dbd4be23a6b76ba65b94be3d817d8ac,2,2,"AAPL, GOOGL, MSFT, NVDA",2,19.38,20.0,9.69
0xc4cee943e4f7140f568a38a0ebb967ba79600cc2,1,0,NVDA,1,15.0,29.17,15.0
0x585fdb545362bfe550300d851d049244c21fc3d6,1,0,AAPL,1,10.0,10.24,10.0
0x2b64ea69157d6c6ddfe90a906f2eb235d25b21b6,3,0,NVDA,4,7.19,69.89,1.8
0x25484cb3130cfd833c8751266ab95d4c2993700b,1,0,TSLA,1,7.0,7.08,7.0
0xd71a41ec000089ae99873afb4d15cc7d54dd95bc,1,4,"GOOGL, MSFT, NVDA",1,5.0,62.5,5.0
0x2203e88248a59eec300f2bffecceabe29e0986b4,1,1,"AMZN, NVDA",1,5.0,5.01,5.0
0x41eb8d19ae61af581833c9e9cbdb25785fc6c08f,1,0,NVDA,1,5.0,50.0,5.0
0x99291427e58c442636d265a5d65df23b9453db68,1,0,GOOGL,1,5.0,10.0,5.0
0xefd23d0db9ad1b53f4ba2b0f300707a9da4bd931,1,0,TSLA,1,5.0,8.2,5.0
0xc80ee9083e9272eac75c19fa494625c9efd51166,1,0,TSLA,1,1.0,1.04,1.0
0xe091de93dd7f640c81790f401cac162c1bdf143e,1,0,XYZ100,1,1.0,9.9,1.0
