wallet,pm_coin,pm_direction,pm_question,pm_token_bought,pm_buy_price,pm_shares_bought,pm_dollar_spent,pm_nominal_value,pm_buy_timestamp,pm_market_end_date,pm_days_before_resolution,pm_sold_early,hl_coin,hl_side,hl_open_timestamp,hl_close_timestamp,hl_avg_entry_price,hl_exit_price,hl_total_buy_size,hl_total_notional_all_fills,hl_realized_pnl,hl_fills_count,hl_notional_usd,pm_hl_ratio,pm_size_bucket,entry_gap_days,pm_to_resolution_days
0x57fc5d089f5aecf327b40472bcf52f52cf31928a,NVDA,Bullish,Will NVIDIA (NVDA) beat quarterly earnings?,Yes,0.927,107.87,100.0,107.87,2025-11-19 21:03:39+00:00,,0.0,No,NVDA,Short,2025-11-13 03:09:36.544000+00:00,2026-01-08T17:30:02.905000+00:00,185.2988,184.42,1265.302,468225.81,-691.99,665,234112.905,0.0004271443302111005,B: $100-$999,6.74586175925926,
0x57fc5d089f5aecf327b40472bcf52f52cf31928a,NVDA,Bullish,Will NVIDIA (NVDA) beat quarterly earnings?,Yes,0.9269,107.88,100.0,107.88,2025-11-19 21:03:27+00:00,,0.0,No,NVDA,Short,2025-11-13 03:09:36.544000+00:00,2026-01-08T17:30:02.905000+00:00,185.2988,184.42,1265.302,468225.81,-691.99,665,234112.905,0.0004271443302111005,B: $100-$999,6.74572287037037,
0x4f7f36299e4ff4f54352cdd537e4f8d86cb2386c,NVDA,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?,No,0.1398,715.33,100.0,715.33,2025-11-19 19:49:11+00:00,,0.1,No,NVDA,Long,2025-11-19 20:06:59.990000+00:00,2025-11-20T09:36:36.844000+00:00,187.4742,197.01,58.846,22424.48,360.28,34,11212.24,0.008918824427589848,B: $100-$999,-0.012372569444444445,
0x5d91c94fd64a08f9b9812c22f4da940b8ceda4ee,NVDA,Bullish,Will NVIDIA (NVDA) beat quarterly earnings?,Yes,0.9107,109.8,100.0,109.8,2025-11-19 14:55:35+00:00,,0.3,Yes,NVDA,Short,,2025-11-13T15:09:28.348000+00:00,190.2723,189.31,145.032,55177.62,-13.52,60,27588.81,0.0036246579682124745,B: $100-$999,,
0x5d91c94fd64a08f9b9812c22f4da940b8ceda4ee,NVDA,Bullish,Will NVIDIA (NVDA) beat quarterly earnings?,Yes,0.918,108.93,100.0,108.93,2025-11-19 14:55:13+00:00,,0.3,Yes,NVDA,Short,,2025-11-13T15:09:28.348000+00:00,190.2723,189.31,145.032,55177.62,-13.52,60,27588.81,0.0036246579682124745,B: $100-$999,,
0x992fa1f4459042e59734c4e38bec152ff119ecdb,NVDA,Bullish,Will NVIDIA be the largest company in the world by market cap on March 31?,Yes,0.987,1032.48,1019.06,1032.48,2026-03-21 13:00:03+00:00,,9.5,Yes,NVDA,Short,2026-03-17 17:33:56.290000+00:00,2026-04-10T08:16:33.864000+00:00,183.2072,183.2,109.425,40047.33,-47.62,14,20023.665,0.050892781116743606,A: >=$1000,3.8097998842592595,
0x992fa1f4459042e59734c4e38bec152ff119ecdb,NVDA,Bullish,Will NVIDIA be the largest company in the world by market cap on March 31?,Yes,0.987,2307.95,2277.95,2307.95,2026-03-21 09:10:55+00:00,,9.6,Yes,NVDA,Short,2026-03-17 17:33:56.290000+00:00,2026-04-10T08:16:33.864000+00:00,183.2072,183.2,109.425,40047.33,-47.62,14,20023.665,0.11376289006033609,A: >=$1000,3.650679513888889,
0x992fa1f4459042e59734c4e38bec152ff119ecdb,NVDA,Bullish,Will NVIDIA be the largest company in the world by market cap on March 31?,Yes,0.985,176.42,173.77,176.42,2026-03-21 06:41:53+00:00,,9.7,Yes,NVDA,Short,2026-03-17 17:33:56.290000+00:00,2026-04-10T08:16:33.864000+00:00,183.2072,183.2,109.425,40047.33,-47.62,14,20023.665,0.008678231482598216,B: $100-$999,3.547184143518519,
0x992fa1f4459042e59734c4e38bec152ff119ecdb,NVDA,Bullish,Will NVIDIA be the largest company in the world by market cap on March 31?,Yes,0.983,230.95,227.02,230.95,2026-03-21 06:27:47+00:00,,9.7,Yes,NVDA,Short,2026-03-17 17:33:56.290000+00:00,2026-04-10T08:16:33.864000+00:00,183.2072,183.2,109.425,40047.33,-47.62,14,20023.665,0.011337584802782108,B: $100-$999,3.537392476851852,
0x992fa1f4459042e59734c4e38bec152ff119ecdb,NVDA,Bullish,Will NVIDIA be the largest company in the world by market cap on March 31?,Yes,0.982,1751.34,1719.82,1751.34,2026-03-21 06:26:09+00:00,,9.7,Yes,NVDA,Short,2026-03-17 17:33:56.290000+00:00,2026-04-10T08:16:33.864000+00:00,183.2072,183.2,109.425,40047.33,-47.62,14,20023.665,0.08588937140128941,A: >=$1000,3.536258217592593,
0xefe1be7c6d0fcfb83808382c86899ddaba2a6b60,NVDA,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?,No,0.1332,1877.09,249.96,1877.09,2025-11-19 19:56:39+00:00,,0.1,No,NVDA,Long,2025-11-19 17:56:08.707000+00:00,2026-05-20T22:20:53.528000+00:00,193.8056,219.48,525.074,205505.07,1980.61,134,102752.535,0.0024326407129517534,B: $100-$999,0.08368394675925926,
